group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube06.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube06.mask.fits.gz                  2.60 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube06.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube07.fits                          1.28 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube07.mask.fits.gz                  1.30 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube07.pbcor.fits                    1.28 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube08.fits                          1.28 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube08.mask.fits.gz                  1.31 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube08.pbcor.fits                    1.28 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube09.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube09.mask.fits.gz                  2.60 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube09.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube10.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube10.mask.fits.gz                  2.64 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube10.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube11.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube11.mask.fits.gz                  2.74 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube11.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube12.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube12.mask.fits.gz                  2.64 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube12.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube13.fits                          1.28 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube13.mask.fits.gz                  1.32 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube13.pbcor.fits                    1.28 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube14.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube14.mask.fits.gz                  2.65 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube14.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube15.fits                          2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube15.mask.fits.gz                  2.62 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_cube15.pbcor.fits                    2.57 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_line.ms.contsub.tgz                  112.13 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_line.ms.flagversions.tgz             50.78 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_mid_line.ms.tgz                          221.90 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_scripts.tgz                              31.94 KB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_spec.tgz                                 8.11 MB

group.uid___A001_X133d_X1237.lp_ldecin.description.pdf                                 520.06 KB
group.uid___A001_X133d_X1237.lp_ldecin.README.txt                                      4.97 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cont_mfs.fin.fits               16.01 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cont_mfs.fin.mask.fits.gz       17.30 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cont.ms.tgz                     5.09 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube00.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube00.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube01.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube01.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube02.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube02.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube03.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube03.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube04.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube04.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube05.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube05.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube06.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube06.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube07.fits                     9.08 GB
